event,execution,fill_count,monotonic_time,order_count,server_time_offset_ms,snapshot,symbol_rules,user_event,utc_timestamp,warnings
server_time_synchronized,,,232270.463925708,,-38,,,,2026-06-23T13:19:42.522695+00:00,
market_snapshot,,,232271.55647525,,,"{""ask"": ""62213.50"", ""bid"": ""62178.00"", ""last_market_event_time_exchange"": 1782220783554, ""last_market_event_time_local_monotonic"": 232271.556078625, ""symbol"": ""BTCUSDT""}",,,2026-06-23T13:19:43.615225+00:00,
symbol_rules_loaded,,,232271.958675875,,,,"{""rate_limits"": {""ORDERS"": 300, ""REQUEST_WEIGHT"": 6000}, ""rules"": {""min_notional"": ""50"", ""min_quantity"": ""0.0001"", ""quantity_step"": ""0.0001"", ""status"": ""TRADING"", ""supported_time_in_force"": [""FOK"", ""GTC"", ""GTD"", ""GTX"", ""IOC""], ""symbol"": ""BTCUSDT"", ""tick_size"": ""0.10""}, ""symbol"": ""BTCUSDT""}",,2026-06-23T13:19:44.017431+00:00,
execution_created,"{""child_order_count"": 0, ""execution_id"": ""exec_3168600ee25b4193"", ""exposure"": {""confirmed_filled_quantity"": ""0"", ""live_open_quantity"": ""0"", ""pending_cancel_quantity"": ""0"", ""pending_submit_quantity"": ""0"", ""unknown_order_quantity"": ""0""}, ""final_reason"": null, ""status"": ""RUNNING""}",,232275.958115458,,,,,,2026-06-23T13:19:48.016872+00:00,
user_stream_event,,,232278.76795225,,,,,"{""event_time_ms"": 1782220790794, ""event_type"": ""ORDER_TRADE_UPDATE"", ""raw"": {""E"": 1782220790794, ""T"": 1782220790794, ""e"": ""ORDER_TRADE_UPDATE"", ""o"": {""L"": ""0"", ""N"": ""USDT"", ""R"": false, ""S"": ""BUY"", ""T"": 1782220790794, ""V"": ""EXPIRE_MAKER"", ""X"": ""NEW"", ""a"": ""0"", ""ap"": ""0"", ""b"": ""62.2125"", ""c"": ""ce_3168600ee25b_1"", ""cp"": false, ""er"": ""0"", ""f"": ""GTX"", ""gtd"": 0, ""i"": 16277695886, ""l"": ""0"", ""m"": false, ""n"": ""0"", ""o"": ""LIMIT"", ""ot"": ""LIMIT"", ""p"": ""62212.5"", ""pP"": false, ""pm"": ""NONE"", ""ps"": ""BOTH"", ""q"": ""0.001"", ""rp"": ""0"", ""s"": ""BTCUSDT"", ""si"": 0, ""sp"": ""0"", ""ss"": 0, ""t"": 0, ""wt"": ""CONTRACT_PRICE"", ""x"": ""NEW"", ""z"": ""0""}}, ""transaction_time_ms"": 1782220790794}",2026-06-23T13:19:50.826694+00:00,
run_once,"{""child_order_count"": 1, ""execution_id"": ""exec_3168600ee25b4193"", ""exposure"": {""confirmed_filled_quantity"": ""0"", ""live_open_quantity"": ""0.001"", ""pending_cancel_quantity"": ""0"", ""pending_submit_quantity"": ""0"", ""unknown_order_quantity"": ""0""}, ""final_reason"": null, ""status"": ""RUNNING""}",,232278.77620075,,,,,,2026-06-23T13:19:50.834940+00:00,
user_stream_applied,"{""child_order_count"": 1, ""execution_id"": ""exec_3168600ee25b4193"", ""exposure"": {""confirmed_filled_quantity"": ""0"", ""live_open_quantity"": ""0.001"", ""pending_cancel_quantity"": ""0"", ""pending_submit_quantity"": ""0"", ""unknown_order_quantity"": ""0""}, ""final_reason"": null, ""status"": ""RUNNING""}",,232278.776488791,,,,,,2026-06-23T13:19:50.835242+00:00,
user_stream_event,,,232280.470606666,,,,,"{""event_time_ms"": 1782220792498, ""event_type"": ""TRADE_LITE"", ""raw"": {""E"": 1782220792498, ""L"": ""62212.50"", ""S"": ""BUY"", ""T"": 1782220792498, ""c"": ""ce_3168600ee25b_1"", ""e"": ""TRADE_LITE"", ""i"": 16277695886, ""l"": ""0.0010"", ""m"": true, ""p"": ""62212.50"", ""q"": ""0.0010"", ""s"": ""BTCUSDT"", ""t"": 508823982}, ""transaction_time_ms"": 1782220792498}",2026-06-23T13:19:52.529347+00:00,
user_stream_event,,,232280.470699916,,,,,"{""event_time_ms"": 1782220792498, ""event_type"": ""ACCOUNT_UPDATE"", ""raw"": {""e"": ""ACCOUNT_UPDATE"", ""redacted"": true}, ""transaction_time_ms"": 1782220792498}",2026-06-23T13:19:52.529450+00:00,
user_stream_event,,,232280.470774666,,,,,"{""event_time_ms"": 1782220792498, ""event_type"": ""ORDER_TRADE_UPDATE"", ""raw"": {""E"": 1782220792498, ""T"": 1782220792498, ""e"": ""ORDER_TRADE_UPDATE"", ""o"": {""L"": ""62212.5"", ""N"": ""USDT"", ""R"": false, ""S"": ""BUY"", ""T"": 1782220792498, ""V"": ""EXPIRE_MAKER"", ""X"": ""FILLED"", ""a"": ""0"", ""ap"": ""62212.5"", ""b"": ""0"", ""c"": ""ce_3168600ee25b_1"", ""cp"": false, ""er"": ""0"", ""f"": ""GTX"", ""gtd"": 0, ""i"": 16277695886, ""l"": ""0.001"", ""m"": true, ""n"": ""0.0124425"", ""o"": ""LIMIT"", ""ot"": ""LIMIT"", ""p"": ""62212.5"", ""pP"": false, ""pm"": ""NONE"", ""ps"": ""BOTH"", ""q"": ""0.001"", ""rp"": ""0"", ""s"": ""BTCUSDT"", ""si"": 0, ""sp"": ""0"", ""ss"": 0, ""t"": 508823982, ""wt"": ""CONTRACT_PRICE"", ""x"": ""TRADE"", ""z"": ""0.001""}}, ""transaction_time_ms"": 1782220792498}",2026-06-23T13:19:52.529525+00:00,
